Date,Close
,^NSEI
2010-01-31,4882.0498046875
2010-02-28,4922.2998046875
2010-03-31,5249.10009765625
2010-04-30,5278.0
2010-05-31,5086.2998046875
2010-06-30,5312.5
2010-07-31,5367.60009765625
2010-08-31,5402.39990234375
2010-09-30,6029.9501953125
2010-10-31,6017.7001953125
2010-11-30,5862.7001953125
2010-12-31,6134.5
2011-01-31,5505.89990234375
2011-02-28,5333.25
2011-03-31,5833.75
2011-04-30,5749.5
2011-05-31,5473.10009765625
2011-06-30,5647.39990234375
2011-07-31,5482.0
2011-08-31,5001.0
2011-09-30,4943.25
2011-10-31,5326.60009765625
2011-11-30,4832.0498046875
2011-12-31,4624.2998046875
2012-01-31,5199.25
2012-02-29,5385.2001953125
2012-03-31,5295.5498046875
2012-04-30,5248.14990234375
2012-05-31,4924.25
2012-06-30,5278.89990234375
2012-07-31,5229.0
2012-08-31,5258.5
2012-09-30,5703.2998046875
2012-10-31,5619.7001953125
2012-11-30,5879.85009765625
2012-12-31,5905.10009765625
2013-01-31,6034.75
2013-02-28,5693.0498046875
2013-03-31,5682.5498046875
2013-04-30,5930.2001953125
2013-05-31,5985.9501953125
2013-06-30,5842.2001953125
2013-07-31,5742.0
2013-08-31,5471.7998046875
2013-09-30,5735.2998046875
2013-10-31,6299.14990234375
2013-11-30,6176.10009765625
2013-12-31,6304.0
2014-01-31,6089.5
2014-02-28,6276.9501953125
2014-03-31,6704.2001953125
2014-04-30,6696.39990234375
2014-05-31,7229.9501953125
2014-06-30,7611.35009765625
2014-07-31,7721.2998046875
2014-08-31,7954.35009765625
2014-09-30,7964.7998046875
2014-10-31,8322.2001953125
2014-11-30,8588.25
2014-12-31,8282.7001953125
2015-01-31,8808.900390625
2015-02-28,8844.599609375
2015-03-31,8491.0
2015-04-30,8181.5
2015-05-31,8433.650390625
2015-06-30,8368.5
2015-07-31,8532.849609375
2015-08-31,7971.2998046875
2015-09-30,7948.89990234375
2015-10-31,8065.7998046875
2015-11-30,7935.25
2015-12-31,7946.35009765625
2016-01-31,7563.5498046875
2016-02-29,6987.0498046875
2016-03-31,7738.39990234375
2016-04-30,7849.7998046875
2016-05-31,8160.10009765625
2016-06-30,8287.75
2016-07-31,8638.5
2016-08-31,8786.2001953125
2016-09-30,8611.150390625
2016-10-31,8638.0
2016-11-30,8224.5
2016-12-31,8185.7998046875
2017-01-31,8561.2998046875
2017-02-28,8879.599609375
2017-03-31,9173.75
2017-04-30,9304.0498046875
2017-05-31,9621.25
2017-06-30,9520.900390625
2017-07-31,10077.099609375
2017-08-31,9917.900390625
2017-09-30,9788.599609375
2017-10-31,10335.2998046875
2017-11-30,10226.5498046875
2017-12-31,10530.7001953125
2018-01-31,11027.7001953125
2018-02-28,10492.849609375
2018-03-31,10113.7001953125
2018-04-30,10739.349609375
2018-05-31,10736.150390625
2018-06-30,10714.2998046875
2018-07-31,11356.5
2018-08-31,11680.5
2018-09-30,10930.4501953125
2018-10-31,10386.599609375
2018-11-30,10876.75
2018-12-31,10862.5498046875
2019-01-31,10830.9501953125
2019-02-28,10792.5
2019-03-31,11570.0
2019-04-30,11748.150390625
2019-05-31,11922.7998046875
2019-06-30,11788.849609375
2019-07-31,11118.0
2019-08-31,11023.25
2019-09-30,11474.4501953125
2019-10-31,11877.4501953125
2019-11-30,12056.0498046875
2019-12-31,12168.4501953125
2020-01-31,11962.099609375
2020-02-29,11201.75
2020-03-31,8597.75
2020-04-30,9859.900390625
2020-05-31,9580.2998046875
2020-06-30,10302.099609375
2020-07-31,11073.4501953125
2020-08-31,11387.5
2020-09-30,11247.5498046875
2020-10-31,11642.400390625
2020-11-30,12968.9501953125
2020-12-31,13981.75
2021-01-31,13634.599609375
2021-02-28,14529.150390625
2021-03-31,14690.7001953125
2021-04-30,14631.099609375
2021-05-31,15582.7998046875
2021-06-30,15721.5
2021-07-31,15763.0498046875
2021-08-31,17132.19921875
2021-09-30,17618.150390625
2021-10-31,17671.650390625
2021-11-30,16983.19921875
2021-12-31,17354.05078125
2022-01-31,17339.849609375
2022-02-28,16793.900390625
2022-03-31,17464.75
2022-04-30,17102.55078125
2022-05-31,16584.55078125
2022-06-30,15780.25
2022-07-31,17158.25
2022-08-31,17759.30078125
2022-09-30,17094.349609375
2022-10-31,18012.19921875
2022-11-30,18758.349609375
2022-12-31,18105.30078125
2023-01-31,17662.150390625
2023-02-28,17303.94921875
2023-03-31,17359.75
2023-04-30,18065.0
2023-05-31,18534.400390625
2023-06-30,19189.05078125
2023-07-31,19753.80078125
2023-08-31,19253.80078125
2023-09-30,19638.30078125
2023-10-31,19079.599609375
2023-11-30,20133.150390625
2023-12-31,21731.400390625
2024-01-31,21725.69921875
2024-02-29,21982.80078125
2024-03-31,22326.900390625
2024-04-30,22604.849609375
2024-05-31,22530.69921875
2024-06-30,24010.599609375
2024-07-31,24951.150390625
2024-08-31,25235.900390625
2024-09-30,25810.849609375
2024-10-31,24205.349609375
2024-11-30,24131.099609375
2024-12-31,23644.900390625
